"","ocean","depth"
"TARA_109_SRF","SPO","SRF"
"TARA_149_MES","NAO","MES"
"TARA_110_MES","SPO","MES"
"TARA_102_MES","SPO","MES"
"TARA_142_SRF","NAO","SRF"
"TARA_109_DCM","SPO","DCM"
"TARA_036_SRF","IO","SRF"
"TARA_122_DCM","SPO","DCM"
"TARA_064_SRF","IO","SRF"
"TARA_085_MES","SO","MES"
"TARA_151_SRF","NAO","SRF"
"TARA_111_MES","SPO","MES"
"TARA_151_DCM","NAO","DCM"
"TARA_066_SRF","SAO","SRF"
"TARA_082_SRF","SAO","SRF"
"TARA_052_SRF","IO","SRF"
"TARA_100_MES","SPO","MES"
"TARA_145_MES","NAO","MES"
"TARA_137_MES","NPO","MES"
"TARA_082_DCM","SAO","DCM"
"TARA_042_SRF","IO","SRF"
"TARA_132_DCM","NPO","DCM"
"TARA_141_SRF","NAO","SRF"
"TARA_133_SRF","NPO","SRF"
"TARA_067_SRF","SAO","SRF"
"TARA_033_SRF","RS","SRF"
"TARA_023_DCM","MS","DCM"
"TARA_070_MES","SAO","MES"
"TARA_023_SRF","MS","SRF"
"TARA_133_DCM","NPO","DCM"
"TARA_056_SRF","IO","SRF"
"TARA_110_DCM","SPO","DCM"
"TARA_085_SRF","SO","SRF"
"TARA_064_MES","IO","MES"
"TARA_142_MES","NAO","MES"
"TARA_085_DCM","SO","DCM"
"TARA_110_SRF","SPO","SRF"
"TARA_109_MES","SPO","MES"
"TARA_102_DCM","SPO","DCM"
"TARA_149_SRF","NAO","SRF"
"TARA_146_SRF","NAO","SRF"
"TARA_025_DCM","MS","DCM"
"TARA_025_SRF","MS","SRF"
"TARA_111_DCM","SPO","DCM"
"TARA_065_MES","IO","MES"
"TARA_084_SRF","SO","SRF"
"TARA_128_SRF","SPO","SRF"
"TARA_057_SRF","IO","SRF"
"TARA_009_SRF","MS","SRF"
"TARA_072_SRF","SAO","SRF"
"TARA_148_SRF","NAO","SRF"
"TARA_048_SRF","IO","SRF"
"TARA_111_SRF","SPO","SRF"
"TARA_112_SRF","SPO","SRF"
"TARA_125_SRF","SPO","SRF"
"TARA_068_MES","SAO","MES"
"TARA_030_DCM","MS","DCM"
"TARA_152_MES","NAO","MES"
"TARA_100_SRF","SPO","SRF"
"TARA_137_SRF","NPO","SRF"
"TARA_039_MES","IO","MES"
"TARA_132_MES","NPO","MES"
"TARA_034_DCM","RS","DCM"
"TARA_112_DCM","SPO","DCM"
"TARA_124_SRF","SPO","SRF"
"TARA_138_SRF","NPO","SRF"
"TARA_070_SRF","SAO","SRF"
"TARA_152_MIX","NAO","MIX"
"TARA_038_SRF","IO","SRF"
"TARA_078_DCM","SAO","DCM"
"TARA_142_DCM","NAO","DCM"
"TARA_076_SRF","SAO","SRF"
"TARA_064_DCM","IO","DCM"
"TARA_032_SRF","RS","SRF"
"TARA_150_SRF","NAO","SRF"
"TARA_122_SRF","SPO","SRF"
"TARA_032_DCM","RS","DCM"
"TARA_076_DCM","SAO","DCM"
"TARA_078_SRF","SAO","SRF"
"TARA_056_MES","IO","MES"
"TARA_150_DCM","NAO","DCM"
"TARA_036_DCM","IO","DCM"
"TARA_037_MES","IO","MES"
"TARA_123_SRF","SPO","SRF"
"TARA_065_DCM","IO","DCM"
"TARA_072_MES","SAO","MES"
"TARA_093_SRF","SPO","SRF"
"TARA_065_SRF","IO","SRF"
"TARA_146_MES","NAO","MES"
"TARA_098_MES","SPO","MES"
"TARA_093_DCM","SPO","DCM"
"TARA_068_DCM","SAO","DCM"
"TARA_052_DCM","IO","DCM"
"TARA_132_SRF","NPO","SRF"
"TARA_140_SRF","NPO","SRF"
"TARA_112_MES","SPO","MES"
"TARA_066_DCM","SAO","DCM"
"TARA_042_DCM","IO","DCM"
"TARA_068_SRF","SAO","SRF"
"TARA_152_SRF","NAO","SRF"
"TARA_007_SRF","MS","SRF"
"TARA_124_MIX","SPO","MIX"
"TARA_007_DCM","MS","DCM"
"TARA_125_MIX","SPO","MIX"
"TARA_138_MES","NPO","MES"
"TARA_058_DCM","IO","DCM"
"TARA_039_DCM","IO","DCM"
"TARA_102_SRF","SPO","SRF"
"TARA_078_MES","SAO","MES"
"TARA_099_SRF","SPO","SRF"
"TARA_122_MES","SPO","MES"
"TARA_123_MIX","SPO","MIX"
"TARA_148b_MES","NAO","MES"
"TARA_076_MES","SAO","MES"
"TARA_098_SRF","SPO","SRF"
"TARA_072_DCM","SAO","DCM"
"TARA_009_DCM","MS","DCM"
"TARA_031_SRF","RS","SRF"
"TARA_096_SRF","SPO","SRF"
"TARA_098_DCM","SPO","DCM"
"TARA_038_MES","IO","MES"
"TARA_128_DCM","SPO","DCM"
"TARA_137_DCM","NPO","DCM"
"TARA_100_DCM","SPO","DCM"
"TARA_030_SRF","MS","SRF"
"TARA_018_SRF","MS","SRF"
"TARA_145_SRF","NAO","SRF"
"TARA_018_DCM","MS","DCM"
"TARA_034_SRF","RS","SRF"
"TARA_045_SRF","IO","SRF"
"TARA_094_SRF","SPO","SRF"
"TARA_038_DCM","IO","DCM"
"TARA_062_SRF","IO","SRF"
"TARA_041_DCM","IO","DCM"
"TARA_041_SRF","IO","SRF"
"TARA_004_SRF","NAO","SRF"
"TARA_133_MES","NPO","MES"
"TARA_004_DCM","NAO","DCM"
"TARA_138_DCM","NPO","DCM"
